Номенклатура;КодНоменклатуры;Склад;Количество;Сумма
Рычаг переключения передач КПП К-744Р;00000070078;Склад №2 Жабский В.;2;13800
Клапан гидроцилиндра замедлительный К-744Р;00000070071;Склад №2 Жабский В.;3;13059.11
Диффузор (кожух) радиатора К-744Р с ЯМЗ-238НД5 /резиновый/;00000070072;Склад №2 Жабский В.;1;10462.79
Втулка крепления радиатора резин. К-700/701/744;00000070074;Склад №2 Жабский В.;22;2381.72
Кольцо втулки крепления радиатора К-700/701/744;00000070075;Склад №2 Жабский В.;98;15153.99
Кронштейн рычага КПП К-744Р (042);00000070076;Склад №2 Жабский В.;1;9200
Шкив привода кондиционера 2-х руч. (на ведущем валу КПП) К-744Р;00000070099;Склад №2 Жабский В.;1;26450
Штуцер крышки тормозка КПП К-700/701/744;00000070080;Склад №2 Жабский В.;1;2300
Втулка верхней крышки КПП К-700/701/744;00000070083;Склад №2 Жабский В.;2;6896.47
Вал привода угл. редуктора КПП К-744;00000070085;Склад №2 Жабский В.;1;15048.1
Валик привода угл. редуктора КПП К-744;00000070089;Склад №2 Жабский В.;1;3680
Гайка кольцевая вала привода угл. редуктора КПП К-700/701;00000070095;Склад №2 Жабский В.;1;600.58
Валик привода тахоспидометра К-744;00000070097;Склад №2 Жабский В.;1;5675.71
Кольцо распорное груз. вала КПП К-744;00000070110;Склад №2 Жабский В.;2;3335
Кольцо распорное разд. вала КПП К-700/701/744;00000070111;Склад №2 Жабский В.;4;3335
Кольцо распорное разд. вала КПП К-700/701/744;00000070113;Склад №2 Жабский В.;1;891.25
Полукольцо разд. вала КПП К-744;00000070114;Склад №2 Жабский В.;3;6037.5
Рычаг промежуточный кулисы в сборе К-744Р;00000070116;Склад №2 Жабский В.;1;6523
Гайка тяги КПП К-700/701/744;00000070119;Склад №2 Жабский В.;16;6670
Рычаг привода управ. муфтами груз-го вала (250й) КПП К-744;00000070122;Склад №2 Жабский В.;1;7475
Мостик управ. муфтами разд-го вала КПП К-744;00000070123;Склад №2 Жабский В.;1;21444.4
Корпус привода вилок разд. вала КПП К-700А/701/744;00000070124;Склад №2 Жабский В.;2;7705
Крышка рычагов привода вилок разд. вала КПП К-700А/701;00000070126;Склад №2 Жабский В.;4;15680.6
Вал привода управ. муфтами разд-ного вала (260-й) КПП К-744;00000070128;Склад №2 Жабский В.;2;15437.95
Втулка шлицевая стяжная привода управ. муфтами разд-ного вала КПП К-744;00000070129;Склад №2 Жабский В.;4;15679.84
Рычаг привода управ. муфтами разд-ного вала КПП К-744;00000070130;Склад №2 Жабский В.;1;5137.8
Рычаг привода управ. муфтами разд-ного вала КПП К-744;00000070131;Склад №2 Жабский В.;1;3462
Кольцо распорное оси заднего хода К-700/701/744 ;00000070134;Склад №2 Жабский В.;1;690
Крышка оси заднего хода К-700/701/744 ;00000070135;Склад №2 Жабский В.;1;656.09
Колонка рулевого управления (без гидроруля) К-744Р;00000070139;Склад №2 Жабский В.;1;98532.57
Шайба гайки колеса М22 К-700/701/744;00000070140;Склад №2 Жабский В.;100;5007.05
Рукоятка управления гидрораспределителем 744;00000070142;Склад №2 Жабский В.;2;23030
Комплект деталей крепления троса гидрораспределителя Bosch К-744;00000070143;Склад №2 Жабский В.;1;10556.89
Шпилька крепления НШ-71/100 к РПН К-700/701;00000070144;Склад №2 Жабский В.;68;16559.88
Болт траверсы двигателя К-700А/744 6g.40Х. (ТИХМАШ) ;00000070146;Склад №2 Жабский В.;10;7969.09
Бак расширительный в сборе К-700А;00000070148;Склад №2 Жабский В.;2;23556
Вал карданный КПП К-700А 700.22.08.000-2 (Белкард);00000070153;Склад №2 Жабский В.;22;1037548.38
Ремкомплект уплотнений ведущего вала КПП К-700/744Р (оригинал, фторопласт);00000070157;Склад №2 Жабский В.;13;195969.59
Рычаг переключения передач промежуточный КПП К-744Р;00000070079;Склад №2 Жабский В.;1;4185.25
Фара передняя МАЗ-5440 Евро-3 (блок) с линзой, левая (Руденск);00000070163;Склад №2 Жабский В.;2;47649.42
Фара передняя МАЗ-5440 Евро-3 (блок) с линзой, правая (Руденск);00000070162;Склад №2 Жабский В.;2;47649.42
Крыло отвала плуга ПН Рубцовск;006856     ;Склад №2 Жабский В.;32;211510.18
Крышка раздаточного вала КПП К-700/701;006858     ;Склад №2 Жабский В.;2;23508.03
Кольцо распорное подшипников КПП К-700/701/744;006859     ;Склад №2 Жабский В.;2;1534.33
Кольцо стопорное КПП К-700/701;006860     ;Склад №2 Жабский В.;4;5153.2
Шестерня К-744 (Z-17) ;013547     ;Склад №2 Жабский В.;3;76138.83
Привод стартера МТЗ 6-ти шлиц.  (ХН-649) (бендикс) (АТЭ-1);013143     ;Склад №2 Жабский В.;7;6439.28
Палец на вилы для погрузки сенажа и навоза ПБМ/ПКУ (Россия);011300     ;Склад №2 Жабский В.;8;41702.4
Датчик давления масла до 10 (РБ);010497     ;Склад №2 Жабский В.;15;90064.21
Щетка коммунальная, без кардана, для МТЗ 80-82 (Беларусь);015146     ;Склад №2 Жабский В.;1;248877.84
Стойка чизельного плуга ПЧ, ПЧП под одност. долото (Рубцовск);009421     ;Склад №2 Жабский В.;7;220616.23
Долото плоскореза ПГ-3-5 / 3 отвер./ (Магнитогорск);011980     ;Склад №2 Жабский В.;182;232375
Генератор МТЗ-100 (Д-260,245) 28В (Гродно);004056     ;Склад №2 Жабский В.;7;114816.8
Болт корпуса дифф-ла моста 15мм К-700/701/744;004064     ;Склад №2 Жабский В.;65;32615.37
Гидроцилиндр прицепа 2ПТС-4;004069     ;Склад №2 Жабский В.;9;320332.72
Коробка переменных передач в сборе К-700/701 (новая);004084     ;Склад №2 Жабский В.;1;2348000
Стойка плуга ПН-2,3,4,5-35 (литая) Рубцовск;004085     ;Склад №2 Жабский В.;158;1595810.95
Плуг трехкорпусный навесной ПЛН-3-35 (Рубцовск);004098     ;Склад №2 Жабский В.;1;348971.64
Зуб ковша ЭО-2621;004101     ;Склад №2 Жабский В.;16;61601.85
Привод стартера СТ-25 ЯМЗ, КамАЗ 10 зуб. (БАТЭ);004102     ;Склад №2 Жабский В.;24;121240.45
Включатель сигнала торм. трак. (лягушка) (12В,2А);004103     ;Склад №2 Жабский В.;40;14309.15
Электровентилятор отопителя в кожухе МТЗ (Гродно);004104     ;Склад №2 Жабский В.;3;37952.64
Электровентилятор отопителя ГАЗ,Волга,Соболь;004105     ;Склад №2 Жабский В.;7;29504.4
Бак радиатора нижний К-744Р1 (238НД3/5) h=108 (СПГ);004107     ;Склад №2 Жабский В.;5;50154.68
Стремянка малая d=12 культиватора КПЭ-3,8/КТС-10 (Рубцовск);004120     ;Склад №2 Жабский В.;30;4818.99
Стремянка большая d=20 культиватора КПЭ-3,8/КТС-10 (Рубцовск);004121     ;Склад №2 Жабский В.;75;83734.77
Стойка культиватора ОП-8 без втулок (АСМ Рубцовск);004122     ;Склад №2 Жабский В.;60;252694.17
Колесо опорное плуга ПН-8-35 (большое) Рубцовск;004128     ;Склад №2 Жабский В.;1;27172.41
Стойка батареи БДТ-7 (опора);004129     ;Склад №2 Жабский В.;1;10070.39
Гидроруль К-702/744Р1,Р2;004151     ;Склад №2 Жабский В.;2;406822.72
Переключатель клавишный  света фар, знак автопоезда МТЗ 3-х контактный;004157     ;Склад №2 Жабский В.;20;7872.97
Крышка сальника хвостовика моста К-700/701;004206     ;Склад №2 Жабский В.;3;15402
Штифт ведомой шест. главной передачи 15мм  К-700/701;004212     ;Склад №2 Жабский В.;95;63010.91
Штифт ведомой шест. главной передачи 16мм  К-700/701;004213     ;Склад №2 Жабский В.;72;36012.38
Рем. к-т стартера ЗиЛ-Бычек, втулки и щетки;004657     ;Склад №2 Жабский В.;16;23071.43
"Конвертер 24/12В 40А ""Энергомаш""";004658     ;Склад №2 Жабский В.;5;60402.62
Корпус подшипника бороны БДТ-3-5-7 в сборе;004689     ;Склад №2 Жабский В.;10;98182.58
Долото АПК-7,2 (Магнитогорск);004712     ;Склад №2 Жабский В.;102;169753.62
Нож правый АПК-7,2 (Магнитогорск);004713     ;Склад №2 Жабский В.;150;291102.26
Нож левый АПК-7,2 (Магнитогорск);004714     ;Склад №2 Жабский В.;150;291102.26
Кронштейн фильтра КПП К-700;004824     ;Склад №2 Жабский В.;1;1251.76
Указатель температуры воды МТЗ с сигн. лампой н/о (Витебск);004898     ;Склад №2 Жабский В.;5;31161.6
Указатель напряжения МТЗ н/о;004899     ;Склад №2 Жабский В.;5;27571.24
Ось звена раскоса горизонт. К-700/701 ;004897     ;Склад №2 Жабский В.;10;5310
Щетка стартера СТ-212 МТЗ (конус);004911     ;Склад №2 Жабский В.;61;24621.59
Втулка ведущего вала КПП К-700/701 700.17.01.029-2;005003     ;Склад №2 Жабский В.;4;6451.54
Обойма раздаточного вала КПП К-700/701/744;005005     ;Склад №2 Жабский В.;1;446.43
Генератор МТЗ-100, Палессе (Есиль-740) (Д-260,245) 28В с выводом (Гродно);005201     ;Склад №2 Жабский В.;36;616711.29
Стартер Т-40 редукторный 12v (КЗАТЭ)г.Самара;005207     ;Склад №2 Жабский В.;1;27464.52
Выключатель массы ручной (двухкнопочный) HR-3009;005209     ;Склад №2 Жабский В.;1;761.14
Датчик оборотов Дон-1500А/Б (ДО13М-1);005303     ;Склад №2 Жабский В.;1;2127.6
Стойка культиватора КРН, КПС Рубцовск;005366     ;Склад №2 Жабский В.;280;436925.81
Фара (круглая,плоская,галоген) МТЗ нов.обр.;005367     ;Склад №2 Жабский В.;50;166985.67
Масло Лукойл дизель М-10 Г2К (18литров);00000070185;Склад №2 Жабский В.;13;95991.07
Масло Лукойл дизель М-10ДМ (5 литров);00000070184;Склад №2 Жабский В.;30;67433.03
Диск левый ведущего вала нов. обр. /под фторопласт/ К-700/744 744Р-17.01.042 (Технолит);014472     ;Склад №2 Жабский В.;7;45837.96
Реле втягив-е универс. стартера Magneton/Jubana, (ХН-3-089) МТЗ/Т-40 12V (АТЭ-1);012310     ;Склад №2 Жабский В.;2;7091.8
Фланец (плита НШ-100) (К);015103     ;Склад №2 Жабский В.;8;17464.29
Кожкартон МПЦК 1,0мм. (1500х1000);015013     ;Склад №2 Жабский В.;63;83526.79
Фонарь заднего хода МАЗ,КамАЗ (аналог ФП135-Г);005700     ;Склад №2 Жабский В.;8;2012.66
Фара рабочая с сеткой 24в Н3 (Вектор) 8724.304/013/017;005701     ;Склад №2 Жабский В.;18;51806.96
Выключатель аварийной остановки сигнализации (кнопка) 24в 6-конт.;005702     ;Склад №2 Жабский В.;29;15587.5
Прокладка крышки клапанов ЮМЗ (резинопробка);005778     ;Склад №2 Жабский В.;254;35760.09
Ступица колеса прицепа 2ПТС-4 в сб. 8-ми шпил.;005798     ;Склад №2 Жабский В.;23;402843.1
Заклёпка стальная 6x18мм (сегмент ДОН) /Россия/ ;005913     ;Склад №2 Жабский В.;80;45004
Оптический элемент под галог. лампу. ;005918     ;Склад №2 Жабский В.;56;36635.62
Механизм подъема колеса 3,4-х корп. плуга (Рубцовск);005927     ;Склад №2 Жабский В.;1;15317.32
Механизм колеса переднего в сб. 8-ми корп. плуга (Рубцовск);005929     ;Склад №2 Жабский В.;2;147481.68
Крышка РПН внутренняя стар./обр. К-700/701 700А.16.02.049;00000001141;Склад №2 Жабский В.;16;71138.91
Валик вилки привода управления муфтами груз. вала КПП К-700/701 700.17.01.483;00000001806;Склад №2 Жабский В.;7;20378.81
Гайка колеса К-700/701 М20х1,5;00000000058;Склад №2 Жабский В.;23;4064.51
Компрессор ЗИЛ-130/К-700 (Мелитополь);00000000125;Склад №2 Жабский В.;3;66963.37
Кольцо упорное трубы шарнира К-700/701 700.28.00.012;00000001824;Склад №2 Жабский В.;75;390909.09
Сухарь РПН, КПП К-700/701 700.17.01.248;00000000222;Склад №2 Жабский В.;31;19531.06
Поводок золотника мех-ма переключения КПП К-700/701 700.17.02.022;00000001908;Склад №2 Жабский В.;1;2159.95
Стакан подшипника РПН нов./обр. К-700/701 6010.16.00.021;00000001146;Склад №2 Жабский В.;28;178653.66
Радиатор системы отопления К-700/701 700А.81.01.000;00000001383;Склад №2 Жабский В.;15;497766.7
Стойка устройства следящего К-700/701 700А.34.14.045;00000001846;Склад №2 Жабский В.;21;13834.43
Шестерня РПН К-700/701 нов.обр. (мелк. шлиц) 700А.16.02.065 36 зуб.;00000000254;Склад №2 Жабский В.;1;10546.58
Бак радиатора верхний К-701 701.13.01.010;00000000017;Склад №2 Жабский В.;26;86856.2
Барабан 1-ой передачи наружн. КПП К-700/701 700А.17.01.055;00000000023;Склад №2 Жабский В.;30;757357.25
Стремянка  переднего моста (510мм) К-700/701 700А.00.23.014-03;00000000219;Склад №2 Жабский В.;47;102860.33
Муфта полужёсткой муфты К-700/701 700А.00.16.024;00000001236;Склад №2 Жабский В.;3;79852.65
Болт карданный К-700 больш. 700.22.00.013;00000000030;Склад №2 Жабский В.;69;10369.74
Опора промежуточная в сборе К-700/701 (под клин) 700А.22.20.000-2;00000000155;Склад №2 Жабский В.;4;336338.54
Радиатор масляный рулевой К-700/701 700А.34.04.000-2;00000000179;Склад №2 Жабский В.;11;417237.4
Диск ведущего вала КПП К-700/701 (внутр. зуб)  (Укр.);00000000094;Склад №2 Жабский В.;2440;2493964.53
Вал РПН К-700/701 стар.обр. (крупный  шлиц) 700А.16.02.047;00000000042;Склад №2 Жабский В.;22;106761.58
Тяга левая в сборе нижн. (мех-ма навески) К-700 700А.46.28.410;00000001492;Склад №2 Жабский В.;1;77984.84
Гидроцилиндр поворота ЦС-125 К-700/701 700А.34.29.000 (ГЦ111.01.032.01);00000000083;Склад №2 Жабский В.;29;1163428.06
Палец вилки прицепной скобы К-700/701 700.46.30.013;00000001903;Склад №2 Жабский В.;1;1839.14
Тройник в сборе К-701  701.10.00.090-2;00000001847;Склад №2 Жабский В.;1;7110.66
Вал промежуточной опоры К-700/701 700А.22.13.011-1;00000000041;Склад №2 Жабский В.;17;228413.57
Чехол пальца след-го устройства К-700/701 700А.34.14.080;00000001891;Склад №2 Жабский В.;70;17524.67
Палец прицепной скобы К-700/701 700.46.30.012-1;00000001904;Склад №2 Жабский В.;10;20720.01
Кольцо корончатое моста К-700/701 700.23.02.022-2;00000000112;Склад №2 Жабский В.;26;74234.37
Амортизатор (подушка) КПП АКСС-220М ;00000000013;Склад №2 Жабский В.;40;85124.65
Вал карданный переднего моста К-700/701 700.22.03.000-3 (Мелитополь);00000000039;Склад №2 Жабский В.;2;104365.79
Крюк с собачкой и защелкой в сборе К-700/701 700А.46.29.100;00000000137;Склад №2 Жабский В.;15;443571.41
Винт стяжной вертикального раскоса мех-ма навески К-700/701 700А.46.28.053;00000001811;Склад №2 Жабский В.;3;12030.91
Стремянка  заднего моста (440мм) К-700/701 700А.00.23.014-02;00000000218;Склад №2 Жабский В.;2;4256
Диск ведущего вала КПП К-700/701 (нар. зуб) (Укр.);00000000095;Склад №2 Жабский В.;2412;2462611
Муфта РПН К-700/701 (наруж-я, мелкий  шлиц) 700А.16.02.024-1;00000000146;Склад №2 Жабский В.;3;3600.82
Бак радиатора нижний К-700А 700.13.01.120;00000000018;Склад №2 Жабский В.;54;180583.33
Обойма ведущего вала К-700/701 700А.17.01.030;00000001178;Склад №2 Жабский В.;23;206281.13
Шайба оси трубы шарнира К-700/701 700А.28.00.033;00000001850;Склад №2 Жабский В.;40;77824
Шарнир нижний раскоса вертикального К-700/701 700.46.28.080;00000001852;Склад №2 Жабский В.;14;80340.57
Гидроаккумулятор КПП К-700/701 (стар.обр.);00000001503;Склад №2 Жабский В.;7;132254.07
Рукав воздушный 125х525 К-701;00000000194;Склад №2 Жабский В.;9;18627.17
Замок двери правый К-700/701 700.67.08.350 ;00000000099;Склад №2 Жабский В.;132;256520.92
Валик вилки РПН К-700/701 700А.16.02.031;00000000045;Склад №2 Жабский В.;3;4492.54
Втулка шлицевая упр-я муфтами КПП К-700/701 700.17.01.296;00000001871;Склад №2 Жабский В.;7;13591.85
Крюк гидрофицированный в сборе К-700/701 700А.46.29.000;00000000136;Склад №2 Жабский В.;9;932364
Валик привода тахоспидометра К-700/701 700А.17.01.063-2;00000000046;Склад №2 Жабский В.;3;8329.09
Амортизатор (подушка) двигателя АКСС-400М;00000000012;Склад №2 Жабский В.;138;393545.81
Амортизатор кабины К-700/701 700.00.67.096;00000000014;Склад №2 Жабский В.;110;16051.2
Рычаг привода управ. муфтами груз-го вала  КПП К-700/701 700.17.01.240-1;00000001873;Склад №2 Жабский В.;2;6231.4
Поперечина навески (скоба прицепная) К-700/701 700.46.30.010;00000001501;Склад №2 Жабский В.;2;93064.01
Рейка мех-ма переключения КПП К-700/701(ПТЗ) (744Р.17.02.036);00000001910;Склад №2 Жабский В.;5;21080
Кольцо стопорное шест-ни 3 пер. ведущ. вала КПП К-700/701 700А.17.01.498-01;00000001869;Склад №2 Жабский В.;7;5547.67
Поршень колодки тормозка КПП К-700/701 700.17.01.418-1;00000001867;Склад №2 Жабский В.;10;18057.28
Палец тяги устройства следящего К-700/701 700.34.14.044;00000001838;Склад №2 Жабский В.;32;14834.69
Шестерня КПП К-700/701 700А.17.01.199;00000001426;Склад №2 Жабский В.;12;119595.42
Манжета рычага кулисы КПП К-700/701 700.17.17.049;00000001878;Склад №2 Жабский В.;8;2078.92
Рычаг тормоза в сборе К-700/701 700.23.00.020-1;00000000196;Склад №2 Жабский В.;51;200112.63
Диффузор (кожух) радиатора К-700А 700.13.09.000-2;00000000098;Склад №2 Жабский В.;4;71030.4
Рычаг привода управ. муфтами груз-го вала  КПП К-700/701 700.17.01.230;00000001874;Склад №2 Жабский В.;4;5180.47
Колодка стояночного тормоза К-700/701 700А.00.23.110;00000001820;Склад №2 Жабский В.;1;4222.5
Пружина клапана КПП К-700/701 700.17.16.105-2;00000000174;Склад №2 Жабский В.;9;2265.61
Диск колеса 610х660 К-700/701 700А.31.00.020;00000000096;Склад №2 Жабский В.;42;2057685.78
Диск с отверстиями (внутр. зуб) ведущего вала КПП К-700/701 700А.17.01.036;00000001815;Склад №2 Жабский В.;10;15808
Механизм переключения передач КПП К-700/701 (ТИХМАШ);00000000144;Склад №2 Жабский В.;3;313773.27
Клапан + седло  КПП К-700/701 700.17.16.107/108;00000000104;Склад №2 Жабский В.;11;37270.01
Муфта полужесткая в сборе К-700А (ЯМЗ-238) 700А.00.16.010-01;00000000149;Склад №2 Жабский В.;3;227085.34
Патрубок водяного насоса двигателя К-700А 700.13.03.015;00000000161;Склад №2 Жабский В.;8;28289.33
Барабан 1 перед. внутр. КПП К-700/701 700А.17.01.540;00000000027;Склад №2 Жабский В.;48;1212518.56
Раскос вертикальный в сборе К-700 700.46.28.070-2;00000001502;Склад №2 Жабский В.;41;1383632.76
Диск стояночного тормоза К-700/701 700А.00.23.054;00000001816;Склад №2 Жабский В.;1;6205.5
Пробка корпуса клапана КПП К-700А/701 (6010-17.48.016);00000001875;Склад №2 Жабский В.;10;10329.16
Диск нажимной ведущего вала КПП К-700/701 700А.17.01.060-2;00000000097;Склад №2 Жабский В.;19;333496.71
Фланец раздаточного вала КПП К-700/701 700А.17.01.160;00000000236;Склад №2 Жабский В.;5;55322.86
Крышка РПН наружняя стар./обр. К-700/701 700А.16.02.048;00000001142;Склад №2 Жабский В.;15;53472.66
Кожух рычага КПП (пыльник) 700А.00.67.034;00000001549;Склад №2 Жабский В.;91;36415.51
Валик привода управления муфтами груз. вала КПП К-700/701 700А.17.01.129;00000001808;Склад №2 Жабский В.;15;57319.23
Корпус пром опоры  К-700/701 (под клин) 700А.22.20.010;00000000127;Склад №2 Жабский В.;19;741973.2
Муфта РПН (малая) К-700/701 (стар.обр.) 700А.16.02.025;00000001507;Склад №2 Жабский В.;2;4350.25
Коробка переменных передач в сборе К-700/701 700А.17.00.000 (ПКП/М);00000001553;Склад №2 Жабский В.;1;1323895
Кран переключения баков ПП-8 К-700/701 700А.11.00.080-1;00000001384;Склад №2 Жабский В.;84;125686.87
Вал карданный ВОМ (длинный) К-700А/701 700А.42.39.000-3;00000001803;Склад №2 Жабский В.;2;101612.97
Инерционный аппарат (циклон)  К-700/701 700А.19.04.030;00000000100;Склад №2 Жабский В.;8;92901.49
Кольцо уплотн-е ведущего вала КПП К-700/701 700.17.01.459;00000000118;Склад №2 Жабский В.;228;250855.44
Фланец ведущего вала КПП К-700/701 700А.17.01.367;00000001177;Склад №2 Жабский В.;1;8287.44
Вал привода управления муфтами груз. вала КПП К-700/701 700.17.01.244-1;00000001800;Склад №2 Жабский В.;11;43009.75
Бак радиатора верхний К-700А 700.13.01.180-1;00000000016;Склад №2 Жабский В.;51;170544
Сухарь тормозной колодки К-700/701 700.23.00.082;00000001888;Склад №2 Жабский В.;12;5929.56
Сильфон центральный шир. К-700А 700.00.10.070-01;00000000208;Склад №2 Жабский В.;4;19290.67
Кольцо ведущего вала КПП К-700/701 700А.17.01.101-1;00000001496;Склад №2 Жабский В.;72;24076.8
Стремянка  переднего моста (550мм) К-700/701;00000000220;Склад №2 Жабский В.;2;4370.4
Муфта РПН К-700/701 (внутр-я, мелкий  шлиц) 700А.16.02.025-1;00000000145;Склад №2 Жабский В.;18;20246.4
Труба в сборе К-700А  700А.00.10.200;00000000228;Склад №2 Жабский В.;1;3193.98
Колонка рулевого управления К-700/701 700А.34.01.120-1;00000001823;Склад №2 Жабский В.;1;32591.47
Пружина торм. колодки К-700/701 700.23.00.035-1;00000001464;Склад №2 Жабский В.;10;4154.27
Бак расширительный К-700А 700.13.11.000-1;00000000020;Склад №2 Жабский В.;14;93751.77
Шестерня грузового вала КПП К-700/701 700.17.01.082-1;00000000252;Склад №2 Жабский В.;1;16267.97
Кронштейн рычага КПП К-700А/701 700А.17.02.042;00000001829;Склад №2 Жабский В.;2;4147.43
Корпус кулисы КПП  К-700/701 700А.17.17.010;00000001826;Склад №2 Жабский В.;4;35379.91
Бак радиатора нижний К-701 701.13.01.080;00000000019;Склад №2 Жабский В.;21;70355.99
Шестерня вала РПН К-700 нов.обр. (вал с фланцем) 700А.16.02.053 Z36;00000000250;Склад №2 Жабский В.;25;299458.47
Шестерня венечная моста К-700/701 700.23.00.024;00000001854;Склад №2 Жабский В.;12;744192
Муфта РПН (средняя) К-700/701 (стар.обр.) 700А.16.02.024;00000001508;Склад №2 Жабский В.;5;14313.33
Гайка стремянки К-700/701 М27 ГОСТ 5931-70;00000001812;Склад №2 Жабский В.;10;2463.08
Клапан паровоздушный в сборе К-700/701 700.13.15.000-01;00000000108;Склад №2 Жабский В.;39;113465.01
Рычаг нижний мех-ма навески К-700/701 700.46.28.097;00000001844;Склад №2 Жабский В.;4;44759.09
Крышка полуоси моста К-700/701 700.23.00.028-2;00000000135;Склад №2 Жабский В.;32;73031.44
Вал карданный КПП К-700А 700.22.08.000-2 ;00000000037;Склад №2 Жабский В.;2;67884.73
Рычаг поводка мех-ма переключения КПП К-700/701 700.17.02.040;00000001909;Склад №2 Жабский В.;1;1590.05
Сошка ГУР К-700/701 700А.34.22.025-1;00000001244;Склад №2 Жабский В.;1;2005.15
Диск 2-3-го фрикц. ведущего вала К-700/701 700А.17.01.049;00000001201;Склад №2 Жабский В.;2;10796.87
Шестерни конич-го редуктора НМШ-25 К-700/701 700.17.01.300R (Шеврон);00000000253;Склад №2 Жабский В.;38;142700.88
Камера тормозная в сборе К-700/701;00000000101;Склад №2 Жабский В.;52;206421.93
Кольцо уплотн-е ведущего вала КПП К-700/701 700.17.01.458-1;00000000119;Склад №2 Жабский В.;276;272145.42
Ось d-100 расклин. (палец трубы шарнира) К-700/701;00000000159;Склад №2 Жабский В.;42;486719.84
Эжектор в сборе К-700/701 701.00.10.210-1 (М);00000000260;Склад №2 Жабский В.;2;27391.6
Опора левая ведущего вала в сб. К-700/701 700А.17.01.020-1;00000001351;Склад №2 Жабский В.;11;184971.3
Диафрагма тормоз. камеры К-700/701 100-3519350;00000000093;Склад №2 Жабский В.;96;32573.02
Кольцо ведущего вала КПП К-700/701 700.17.01.028;00000001460;Склад №2 Жабский В.;4;4446.65
Раскос горизонтальный в сборе К-700 700.46.28.290-1;00000001465;Склад №2 Жабский В.;27;376259.61
Кулиса КПП К-700/701 700А.17.17.000 (Украина);00000000138;Склад №2 Жабский В.;22;426228
Гильза клапана КПП К-700А/701 700.17.16.104;00000001876;Склад №2 Жабский В.;3;4336.16
Траверса крепления двигателя К-700 700.10.00.038;00000000225;Склад №2 Жабский В.;1;20692.72
Проставка аммортизатора двиг-ля К-700А 700А.00.10.021;00000000172;Склад №2 Жабский В.;16;89299.42
Крышка промежуточной опоры К-700/701;00000000133;Склад №2 Жабский В.;57;279021.97
Распределитель с редуктором (ГУР) К-700/701;00000000087;Склад №2 Жабский В.;3;177201.08
Стремянка  заднего моста (395мм) К-700/701 700А.00.23.014-01;00000000217;Склад №2 Жабский В.;25;53106.1
Шестерня грузового вала КПП К-700/701 700.17.01.083;00000001514;Склад №2 Жабский В.;8;157628.11
Валик привода управ. муфтами разд-ного вала  КПП К-700/701 700.17.01.260;00000001457;Склад №2 Жабский В.;42;114226.58
Крышка РПН наружняя нов./обр. К-700/701 6010.16.00.023;00000001144;Склад №2 Жабский В.;28;116105.58
Сильфон в сборе К-701 (ЯМЗ-240) 701.10.00.060;00000000207;Склад №2 Жабский В.;27;107890.99
Валик привода управ. муфтами разд-ного вала  КПП К-700/701 700.17.01.231;00000001458;Склад №2 Жабский В.;70;97888
Кольцо стопорное шест-ни 2 пер. ведущ. вала КПП К-700/701 700А.17.01.498;00000001868;Склад №2 Жабский В.;10;7371.57
Тяга правая в сборе нижн. (мех-ма навески) К-700 700А.46.28.400;00000001493;Склад №2 Жабский В.;4;321273.21
Кольцо ведущего вала КПП К-700/701 700А.17.01.051-2;00000000117;Склад №2 Жабский В.;54;107163
Диск 1-го фрикц. ведущего вала К-700/701 700А.17.01.057;00000001098;Склад №2 Жабский В.;39;185126.41
Фланец РПН К-700/701 стар.обр. (крупн. шлиц) 700А.00.16.026;00000000240;Склад №2 Жабский В.;15;88303.69
Шпилька колеса К-700/701 700.23.00.089;00000001147;Склад №2 Жабский В.;10;2159.13
Вал РПН К-700/701 нов.обр. (мелкий  шлиц) 6010.16.00.019;00000000043;Склад №2 Жабский В.;92;903328.78
Муфта выключения РПН К-700/701 (8 шлиц) 700А.16.02.052;00000000151;Склад №2 Жабский В.;18;85010.74
Корпус углового редуктора КПП К-700/701 700А.17.01.203;00000001827;Склад №2 Жабский В.;14;86729.71
Ось рычага мех-ма навески К-700/701 700.46.28.066;00000001835;Склад №2 Жабский В.;6;9388.21
Бак расширительный К-701 701.13.11.000-1;00000000021;Склад №2 Жабский В.;1;13420
Барабан 2-3 перед. внутренний КПП К-700/701 700А.17.01.047-1;00000000026;Склад №2 Жабский В.;15;379831.12
Головка компрессора ЗИЛ/К-700 (К);00000000085;Склад №2 Жабский В.;7;25124.99
Клапан предохранит-й ресивера К-700/701(солдатик);00000000109;Склад №2 Жабский В.;5;4396.06
Кольцо ведущего вала КПП К-700/701 700а.17.01.023-2;00000000114;Склад №2 Жабский В.;26;46251.67
Компрессор ЗИЛ-130/К-700 (К);00000000124;Склад №2 Жабский В.;41;956471.44
Крестовина кардана большая К-700/701 700.22.01.080 ;00000000129;Склад №2 Жабский В.;587;3116251.62
Палец муфты полужёсткой К-700/701 700.00.16.016;00000000160;Склад №2 Жабский В.;64;26304.22
Прижим пром. опоры (клин) К-700/701 700А.22.00.011-1;00000000169;Склад №2 Жабский В.;23;26724.67
Проставка аммортизатора двиг-ля К-700А* 700А.00.10.021;00000000173;Склад №2 Жабский В.;22;93303.57
Регулятор компрессора АР-11 (6,0-7,3 кг/см.кв);00000000180;Склад №2 Жабский В.;4;4380.61
Секция фильтра КПП, гидробака К-700/701 700.17.16.170;00000000206;Склад №2 Жабский В.;515;142982.8
